company_person_id,year,isin,company_shortname,company_name,exec_id,exec_fullname,days,ceo_flag_eoy,cfo_flag_eoy,date_begin_ceo,date_end_ceo,date_begin_cfo,date_end_cfo,salary,one_year_bonus,multi_year_bonus,multi_year_bonus_grants,multi_year_bonus_payout,total_equity_grants,stock_grants,option_grants,other_annual_comp,total_comp,pension,pension_missing,one_time_payment,total_comp_pens_and_one_time,index_listing,n_executives,female,nationality,date_of_birth,sector,tenure_years
1664.0,2017,DE0005545503,1&1 Drillisch,1&1 Drillisch AG,1578.0,Vlasios Choulidis,364.0,1.0,,01jan2017,31dec2017,,,700.0,900.0,0.0,1562.0,0.0,0.0,0.0,0.0,20.0,1620.0,1.0,0.0,1907.0,3528.0,,3,0,German,01jan1958,,0.9965776865160849
131.0,2008,DE0005085906,AWD,AWD Holding AG,124.0,Carsten Maschmeyer,365.0,1.0,,20oct2008,31dec2008,,,644.0,75.0,27.0,,,0.0,0.0,0.0,25.0,771.0,,1.0,0.0,771.0,MDAX,8,0,German,08may1959,,0.1971252566735113
709.0,2007,DE0005408116,Aareal Bank,Aareal Bank AG,671.0,Dr. Wolf Schumacher,365.0,1.0,,01jan2007,31dec2007,,,500.0,900.0,0.0,,,1235.0,1235.0,0.0,44.49393,2679.494,,1.0,0.0,2679.494,MDAX,5,0,German,01jan1958,,0.9965776865160849
709.0,2008,DE0005408116,Aareal Bank,Aareal Bank AG,671.0,Dr. Wolf Schumacher,365.0,1.0,,01jan2008,31dec2008,,,725.0,712.5,0.0,,,375.0,375.0,0.0,22.865,1835.365,,1.0,0.0,1835.365,MDAX,4,0,German,01jan1958,,0.999315537303217
709.0,2009,DE0005408116,Aareal Bank,Aareal Bank AG,671.0,Dr. Wolf Schumacher,365.0,1.0,,01jan2009,31dec2009,,,500.0,0.0,0.0,,,0.0,0.0,0.0,25.269,525.269,284.0,0.0,0.0,809.269,MDAX,4,0,German,01jan1958,,0.9965776865160849
709.0,2010,DE0005408116,Aareal Bank,Aareal Bank AG,671.0,Dr. Wolf Schumacher,365.0,1.0,,01jan2010,31dec2010,,,500.0,0.0,0.0,,,0.0,0.0,0.0,25.0,525.0,1961.0,0.0,0.0,2486.0,MDAX,5,0,German,01jan1958,,0.9965776865160849
709.0,2011,DE0005408116,Aareal Bank,Aareal Bank AG,671.0,Dr. Wolf Schumacher,365.0,1.0,,01jan2011,31dec2011,,,800.0,2012.5,0.0,,,562.5,562.5,0.0,26.632,3401.632,433.0,0.0,0.0,3834.632,MDAX,4,0,German,01jan1958,,0.9965776865160849
709.0,2012,DE0005408116,Aareal Bank,Aareal Bank AG,671.0,Dr. Wolf Schumacher,365.0,1.0,,01jan2012,31dec2012,,,1100.0,330.0,495.0,,,825.0,825.0,0.0,26.02659,2776.027,,1.0,0.0,2776.027,MDAX,4,0,German,01jan1958,,0.999315537303217
709.0,2013,DE0005408116,Aareal Bank,Aareal Bank AG,671.0,Dr. Wolf Schumacher,365.0,1.0,,01jan2013,31dec2013,,,1100.0,363.0,544.5,,,907.5,363.0,544.5,27.751,2942.751,761.0,0.0,,3703.751,MDAX,5,0,German,01jan1958,,0.9965776865160849
709.0,2014,DE0005408116,Aareal Bank,Aareal Bank AG,671.0,Dr. Wolf Schumacher,365.0,1.0,,01jan2014,31dec2014,,,1350.0,364.28,,546.42,,910.7,910.7,,28.22389,2653.204,770.232,0.0,,3423.436,MDAX,4,0,German,01jan1958,,0.9965776865160849
