company_person_id,year,isin,company_shortname,company_name,exec_id,exec_fullname,days,ceo_flag_eoy,cfo_flag_eoy,date_begin_ceo,date_end_ceo,date_begin_cfo,date_end_cfo,salary,one_year_bonus,multi_year_bonus,multi_year_bonus_grants,multi_year_bonus_payout,total_equity_grants,stock_grants,option_grants,other_annual_comp,total_comp,pension,pension_missing,one_time_payment,total_comp_pens_and_one_time,index_listing,n_executives,female,nationality,date_of_birth,sector,tenure_years,pct_fixed,pct_sti,pct_lti,pct_other,total_assets,employees,revenue,ebit,staff_costs,roe,roa,log_revenue,ebit_margin
1539.0,2006,DE 0008063306,IKB,IKB Deutsche Industriebank AG,1460.0,Stefan Ortseifen,365.0,1.0,,01apr2006,31mar2007,,,504.0,195.0,0.0,,,0.0,0.0,0.0,93.0,792.0,,1.0,0.0,792.0,MDAX,7,0,German,26dec1950,,0.7501711156741958,0.6363636363636364,0.24621212121212122,0.0,0.11742424242424243,,,,,,,,,
380.0,2007,DE 0008063306,IKB,IKB Deutsche Industriebank AG,358.0,Dr. Günther Bräunig,246.0,1.0,,29jul2007,31mar2008,,,371.0,550.0,0.0,,,0.0,0.0,0.0,15.0,936.0,,1.0,0.0,936.0,MDAX,8,0,German,10oct1955,,0.4243668720054757,0.39636752136752135,0.5876068376068376,0.0,0.01602564102564097,,,,,,,,,
864.0,2008,DE 0008063306,IKB,IKB Deutsche Industriebank AG,820.0,Hans Jörg Schüttler,150.0,1.0,,01nov2008,31mar2009,,,312.0,313.0,0.0,,,0.0,0.0,0.0,8.0,633.0,0.0,0.0,0.0,633.0,MDAX,7,0,German,22oct1955,,0.164271047227926,0.4928909952606635,0.49447077409162715,0.0,0.012638230647709303,,,,,,,,,
826.0,2008,DE0003304101,Gerry Weber,Gerry Weber International AG,784.0,Gerhard Weber,365.0,1.0,,01nov2007,31oct2008,,,469.0,2148.0,0.0,,,0.0,,,0.0,2617.0,,1.0,,2617.0,MDAX,3,0,German,01jan1943,,1.1663244353182751,0.1792128391287734,0.8207871608712266,0.0,0.0,,,,,,,,,
826.0,2009,DE0003304101,Gerry Weber,Gerry Weber International AG,784.0,Gerhard Weber,365.0,1.0,,01nov2008,31oct2009,,,469.0,2410.0,0.0,,,0.0,,,0.0,2879.0,,1.0,,2879.0,MDAX,4,0,German,01jan1943,,1.163586584531143,0.16290378603681835,0.8370962139631817,0.0,0.0,,,,,,,,,
826.0,2010,DE0003304101,Gerry Weber,Gerry Weber International AG,784.0,Gerhard Weber,365.0,1.0,,01nov2009,31oct2010,,,469.0,3273.0,0.0,,,0.0,,,0.0,3742.0,,1.0,,3742.0,MDAX,3,0,German,01jan1943,,1.163586584531143,0.12533404596472475,0.8746659540352753,0.0,0.0,,,,,,,,,
826.0,2011,DE0003304101,Gerry Weber,Gerry Weber International AG,784.0,Gerhard Weber,365.0,1.0,,01nov2010,31oct2011,,,469.0,3715.0,0.0,,,0.0,0.0,0.0,0.0,4184.0,,1.0,0.0,4184.0,MDAX,3,0,German,01jan1943,,1.163586584531143,0.11209369024856597,0.887906309751434,0.0,0.0,,,,,,,,,
826.0,2012,DE0003304101,Gerry Weber,Gerry Weber International AG,784.0,Gerhard Weber,365.0,1.0,,01nov2011,31oct2012,,,751.0,3800.0,0.0,,,0.0,0.0,0.0,0.0,4551.0,,1.0,0.0,4551.0,MDAX,3,0,German,01jan1943,,1.1663244353182751,0.16501867721379918,0.8349813227862009,0.0,0.0,,,,,,,,,
826.0,2013,DE0003304101,Gerry Weber,Gerry Weber International AG,784.0,Gerhard Weber,365.0,1.0,,01nov2012,31oct2013,,,755.0,3000.0,0.0,,,,,,0.0,3755.0,,1.0,,3755.0,MDAX,5,0,German,01jan1943,,1.163586584531143,0.2010652463382157,0.7989347536617842,0.0,0.0,,,,,,,,,
131.0,2008,DE0005085906,AWD,AWD Holding AG,124.0,Carsten Maschmeyer,365.0,1.0,,20oct2008,31dec2008,,,644.0,75.0,27.0,,,0.0,0.0,0.0,25.0,771.0,,1.0,0.0,771.0,MDAX,8,0,German,08may1959,,0.1971252566735113,0.8352788586251622,0.09727626459143969,0.03501945525291829,0.03242542153047989,483476341.72,1980.0,888600012.06,27416476.49,189410276.65,-31.17,-4.15,20.60515776316336,0.030853563040632487
