isin|year|company_shortname|company_name|opting_out|index_listing|new_cnameshort|n_executives|days_bt|fy_begin|fy_end|salary_bt|one_year_bonus_bt|multi_year_bonus_bt|multi_year_bonus_grants_bt|multi_year_bonus_payout_bt|total_equity_grants_bt|stock_grants_bt|option_grants_bt|other_annual_bt|total_comp_bt|one_time_payment_bt|pension_bt|total_comp_pens_and_one_time_bt
"DE0005545503"|2017|"1&1 Drillisch"|"1&1 Drillisch AG"|0|""|""|3|820|"01jan2017"|"31dec2017"|1400|1450|0|1662|0|0|0|0|45|2895|1907|2|4804
"DE0005545503"|2018|"1&1 Drillisch"|"1&1 Drillisch AG"|0|"MDAX"|""|2|730|"01jan2018"|"31dec2018"|700|531|300|100|300|0|0|0|25|1556|0|1|1557
"IT0000062072"|2006|"AMB Generali"|"AMB Generali Holding AG"|1|"MDAX"|""|2|730|"01jan2006"|"31dec2006"|1119|1998|0|||0|0|0|13|3130|0|0|3130
"IT0000062072"|2007|"AMB Generali"|"AMB Generali Holding AG"|1|"MDAX"|""|4|943|"01jan2007"|"31dec2007"|1022|1877|0|||0|0|0|117|3016|0||3016
"DE0005085906"|2006|"AWD"|"AWD Holding AG"|0|"MDAX"|""|4|1111|"01jan2006"|"31dec2006"|1602|1331|0|||58|0|58|104|3095|160|0|3255
"DE0005085906"|2007|"AWD"|"AWD Holding AG"|0|"MDAX"|""|5|1017|"01jan2007"|"31dec2007"|1454|830|0|||44|0|44|98|2426|0|0|2426
"DE0005085906"|2008|"AWD"|"AWD Holding AG"|0|"MDAX"|""|8|1604|"01jan2008"|"31dec2008"|2211|1092|110|||0|0|0|294|3707|0|0|3707
"DE0005408116"|2006|"Aareal Bank"|"Aareal Bank AG"|1|"MDAX"|""|5|1825|"01jan2006"|"31dec2006"|1820|2580|0|||2130|2130|0|100.0482|6630.048|0|242.915|6872.963
"DE0005408116"|2007|"Aareal Bank"|"Aareal Bank AG"|0|"MDAX"|""|5|1701|"01jan2007"|"31dec2007"|1745|2145|0|||4835|4835|0|647.7018|9372.702|0|0|9372.702
"DE0005408116"|2008|"Aareal Bank"|"Aareal Bank AG"|0|"MDAX"|""|4|1460|"01jan2008"|"31dec2008"|2442.5|1443.75|0|||1500|1500|0|101.766|5488.016|0|0|5488.016
