isin,ratio_salary,ratio_sti,ratio_lti,ratio_equity,ratio_variable,ratio_other,ratio_pension,vpi,ratio_stock_in_equity,ratio_option_in_equity,log_tc_pe,salary_bt_pe,one_year_bonus_bt_pe,multi_year_bonus_bt_pe,total_equity_grants_bt_pe,stock_grants_bt_pe,option_grants_bt_pe,other_annual_bt_pe,total_comp_bt_pe,one_time_payment_bt_pe,pension_bt_pe,total_comp_pens_and_one_time_bt_pe,n_executives_median,index_score,ever_opted_out,year_count,year_min,year_max,company_shortname,company_name,index_listing_last,data_confidence
DE 0008063306,0.474437148217636,0.4793621013133208,0.0,0.0,0.4793621013133208,0.04620075046904315,0.1376641651031895,1.0103806228373702,0.0,0.0,6.302618975744905,305.85714285714283,255.5,0.0,0.0,0.0,0.0,24.625,545.0,0.0,73.375,606.375,7.0,0.0,0,3,2006,2008,IKB,IKB Deutsche Industriebank AG,MDAX,low
DE0003304101,0.279394893907303,0.720605106092697,0.0,0.0,0.720605106092697,0.0,0.0,2.5834868934631663,0.0,0.0,7.432615701167146,424.75,1239.5,0.0,0.0,0.0,0.0,0.0,1692.75,0.0,0.0,1692.75,3.0,0.0,1,8,2006,2013,Gerry Weber,Gerry Weber International AG,MDAX,medium
DE0005085906,0.5964391691394659,0.34212695795548226,0.0,0.018136850783182192,0.3602638087386645,0.0403957131079967,0.0,0.6011004126547456,0.0,1.0,6.186620061882023,290.8,166.0,0.0,8.8,0.0,8.8,26.0,485.2,0.0,0.0,485.2,5.0,0.0,0,3,2006,2008,AWD,AWD Holding AG,MDAX,low
DE0005089031,0.640625,0.3273400473933649,0.0,0.0,0.3273400473933649,0.0234375,0.0,0.5129864253393666,0.0,0.0,6.087909801179577,290.0,135.0,0.0,0.0,0.0,0.0,10.0,443.5,0.0,0.0,473.5,2.0,0.0,0,4,2017,2021,United Internet,United Internet AG,MDAX,low
DE0005140008,0.527617714788384,0.0164000032339855,0.021881305376096664,0.3356214668608495,0.39326136851495225,0.05150653888743967,0.14092473544613196,0.7494505268304552,1.0,0.0,8.355316240414854,1683.452380952381,82.72115705128206,86.77560833333334,1510.849025974026,1510.849025974026,0.0,132.97422857142857,4252.472916666667,0.0,543.503125,5099.875089285714,9.0,1.0,0,16,2006,2021,Deutsche Bank,Deutsche Bank AG,DAX,high
DE0005156004,0.23122289410066083,0.21527128959603292,0.0,0.5477430421052571,0.7630143317012901,0.005762774198049112,0.0,3.31941693232424,0.5,0.5,6.910569424687562,235.95,259.675,0.0,537.565,284.44,253.125,5.325,1038.5149999999999,0.0,0.0,1038.5149999999999,4.5,0.0,0,2,2007,2008,Arques,Arques Industries AG,MDAX,very_low
DE0005158703,0.5043095543737393,0.2563600782778865,0.1674087266251113,0.0,0.48285347515129284,0.012466607301869992,0.0,0.9574545454545454,0.0,0.0,7.5058589108551885,1083.3333333333333,601.6666666666666,313.3333333333333,0.0,0.0,0.0,23.0,1817.6666666666667,0.0,0.0,1817.6666666666667,3.0,0.0,0,5,2017,2021,Bechtle,Bechtle AG,MDAX,low
DE0005168108,0.6225284601557819,0.3774715398442181,0.0,0.0,0.3774715398442181,0.0,0.05672268907563025,0.6063522617901829,0.0,0.0,6.033685562541945,259.75,157.5,0.0,0.0,0.0,0.0,0.0,416.25,0.0,21.5,437.75,4.0,0.0,1,5,2006,2010,Bauer,Bauer AG,MDAX,low
DE0005190003,0.21494213410607405,0.7567220321928598,0.0,0.02087606677388492,0.776893733420409,0.010109030147475617,0.07002621266953667,3.6158390665955102,1.0,0.0,8.070599542174156,819.9372222222222,1880.1742857142858,0.0,80.94582638888889,80.94582638888889,0.0,36.807833333333335,3250.583888888889,0.0,193.8041597222222,3428.6052222222224,8.0,1.0,0,16,2006,2021,BMW,BMW AG,DAX,high
DE0005194005,0.6026423241188341,0.29094292803970223,0.0,0.0,0.39735767588116583,0.0,0.07860031247128021,0.6645709100337049,0.0,0.0,6.795514037483338,536.9428571428572,235.71428571428572,0.0,0.0,0.0,0.0,0.0,892.8571428571429,0.0,73.53333333333333,1036.0,6.0,0.0,1,8,2006,2013,BayWa,BayWa AG,MDAX,medium
DE0005200000,0.3630098386616196,0.3390390463672272,0.2350498230740738,0.0,0.5740619866143016,0.04451063483995007,0.0,1.5148403802049755,0.0,0.0,7.10466616075767,461.3928571428571,422.66666666666663,277.8263333333333,0.0,0.0,0.0,52.833333333333336,1216.7829666666667,27.5,0.0,1418.4005857142856,7.0,1.0,0,16,2006,2021,Beiersdorf,Beiersdorf AG,DAX and MDAX,high
DE0005232805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.340835554123275,1541.0,0.0,0.0,0.0,0.0,0.0,0.0,1541.0,0.0,0.0,1541.0,2.0,0.0,1,3,2011,2013,Bertrandt,Bertrandt AG,,low
DE0005313704,0.4111266620013996,0.3853905625166622,0.20075227431770468,0.0,0.569288189816049,0.019425062796539213,0.17845380965671226,1.3830310880829013,0.0,0.0,6.798777116412392,333.3333333333333,311.35,172.45,0.0,0.0,0.0,17.033333333333335,895.75,0.0,150.96666666666667,1055.6,3.0,0.0,0,5,2017,2021,Carl Zeiss Meditec,Carl Zeiss Meditec AG,MDAX,low
