company_shortname,year,n_exec,total_comp_sum,n_female,n_total,avg_male_comp,avg_female_comp,sti_esg_share,lti_esg_share,OPPL,TURN,ROE,ROA,STAF,EMPL,stipi1,stipi2,stipi3,ltipi1,ltipi2,stipi1_cat,stipi2_cat,ltipi1_cat,ltipi2_cat,stipi1weight_num,stipi2weight_num,ltipi1weight_num,ltipi2weight_num,female_pct,avg_comp,worker_avg_pay_eur,exec_avg_pay_eur,ceo_worker_ratio,comp_yoy_pct,oppl_yoy_pct
Adidas,2006,4,8813.0,0.0,4,2203.25,,,,1160279233.2,13280653562.0,17.03,5.76,1431581755.4,26376.0,,,,,,Financial,Financial,Financial,Financial,,,,,0.0,2203.25,54275.92339247801,2203250.0,40.593505596725485,,
Adidas,2007,4,10612.0,0.0,4,2653.0,,,,1397022239.7,15161150734.0,18.16,6.62,1882815010.1,31344.0,,,,,,Financial,Financial,Financial,Financial,,,,,0.0,2653.0,60069.391593287386,2653000.0,44.16558799134677,20.413026211278783,20.403968262628737
Adidas,2008,4,8416.0,0.0,4,2104.0,,,,1475201273.0,15028960893.0,18.88,6.74,1785550220.0,38982.0,,,,,,Financial,Financial,Financial,Financial,,,,,0.0,2104.0,45804.479503360526,2104000.0,45.934371983107816,-20.69355446664154,5.596119451669446
Adidas,2009,4,10494.0,0.0,4,2623.5,,,,727503199.58,14954872703.0,6.49,2.76,1947691734.3,39596.0,,,,,,Financial,Financial,Financial,Financial,,,,,0.0,2623.5,49189.10330083847,2623500.0,53.33498323713659,24.691064638783278,-50.68447859317974
Adidas,2010,4,11494.0,0.0,4,2873.5,,,,1173796835.7,16029412369.0,12.27,5.34,2033422536.5,42541.0,,,,,,Financial,Financial,Financial,Financial,,,,,0.0,2873.5,47799.12405679227,2873500.0,60.11616440054145,9.529254812273692,61.34593447529206
Adidas,2011,4,14529.0,0.0,4,3632.25,,,,1233086598.8,17237334385.0,11.95,5.46,2129759225.1,46824.0,,,,,,Financial,Financial,Financial,Financial,,,,,0.0,3632.25,45484.350442080984,3632250.0,79.85713689866247,26.405080911780065,5.051109467733572
Adidas,2012,4,10309.0,0.0,4,2577.25,,,,1212528556.7,19636629499.0,9.94,4.52,2469916711.8,46306.0,,,,,,Financial,Financial,Financial,Financial,,,,,0.0,2577.25,53339.02111605408,2577250.0,48.318284551800566,-29.04535756074059,-1.6672018104816222
Adidas,2013,5,9625.0,0.0,5,1925.0,,,,1656299058.1,19985916694.0,14.36,6.79,2587191534.5,50728.0,,,,,,Financial,Financial,Financial,Financial,,,,,0.0,1925.0,51001.25245426589,1925000.0,37.744171120624856,-25.30798331554952,36.59876701030112
Adidas,2014,6,14233.191,0.0,6,2372.1985,,,,1070836728.6,17645738110.0,8.72,3.95,2236373303.9,53731.0,,,,,,Financial,Financial,Financial,Financial,,,,,0.0,2372.1985,41621.65796095364,2372198.5,56.99432978439785,23.231090909090902,-35.34762195491463
Adidas,2015,5,7413.897,0.0,5,1482.7794,,,,1181239431.5,18415359432.0,11.23,4.75,2377720662.1,54921.0,,,,,,Financial,Financial,Financial,Financial,,,,,0.0,1482.7794,43293.46993135595,1482779.4,34.249493107182765,-37.49345174950579,10.309947347840719
