company_shortname,year,sector,index_listing,n_executives,n_female,female_exec_pct,total_comp_bt,salary_bt,one_year_bonus_bt,multi_year_bonus_bt,total_equity_grants_bt,other_annual_bt,pension_bt,fixed_pct,sti_pct,lti_pct,variable_pct,pension_pct,comp_per_exec,comp_yoy_pct,salary_yoy_pct,sti_yoy_pct,lti_yoy_pct,comp_3yr_mean,comp_volatility_3yr,lti_trend_3yr,ceo_comp,ceo_salary,ceo_sti,n_ceos,board_avg_comp,ceo_board_premium_ratio,ceo_board_premium_pct,peer_rank_total_comp,peer_pct_total_comp,peer_rank_per_exec,sector_rank,sector_pct,year_median_comp,comp_vs_median_pct,comp_above_own_3yr_mean_pct,employees,revenue,ebit,profit_before_tax,staff_costs,total_assets,ROE,ROA,ebit_yoy_pct,empl_yoy_pct,p4p_gap_vs_ebit,p4p_score_vs_ebit,exec_worker_pay_ratio,has_esg_kpi,esg_sti_weight_avg,anomaly_score_pct,is_anomaly,schlechte_zeiten,schlechte_zeiten_score,crisis_GFC_2009,crisis_EuroDebt_2012,crisis_Dieselgate_2015,crisis_COVID_2020,is_energy_company,is_auto_company,dieselgate_era,energiewende_era,esg_kpi_weight_sum,esg_kpi_weight_cnt
Adidas,2006,Consumer,DAX,4,0.0,0.0,35252.0,10692.0,15348.0,0.0,0.0,1212.0,31308.0,30.3,43.5,0.0,43.5,88.8,8813.0,,,,,35252.0,,,8813.0,2673.0,3837.0,1.0,8813.0,1.0,0.0,27.0,27.778,26.0,4.0,40.0,91194.0,-61.344,0.0,26376.0,13280653562.0,1160279233.2,952192832.71,1431581755.4,11035164240.0,17.03,5.76,,,,,0.2,False,0.0,,0,0,,0,0,0,0,0,0,0,0,0.0,4
Adidas,2007,Consumer,DAX,4,0.0,0.0,42448.0,10632.0,16988.0,0.0,0.0,1228.0,1700.0,25.0,40.0,0.0,40.0,4.0,10612.0,20.413,-0.561,10.685,,38850.0,,0.0,10612.0,2658.0,4247.0,1.0,10612.0,1.0,0.0,26.0,32.432,24.0,4.0,50.0,113529.5,-62.611,9.261,31344.0,15161150734.0,1397022239.7,1199760932.9,1882815010.1,12255226707.0,18.16,6.62,20.404,18.835,0.0,1.0,0.2,False,0.0,,0,0,20.4,0,0,0,0,0,0,0,0,0.0,4
Adidas,2008,Consumer,DAX,4,0.0,0.0,33664.0,11432.0,16808.0,0.0,0.0,624.0,1700.0,34.0,49.9,0.0,49.9,5.0,8416.0,-20.694,7.524,-1.06,,37121.333,29.067,0.0,8416.0,2858.0,4202.0,1.0,8416.0,1.0,0.0,28.0,27.027,24.0,5.0,33.333,70730.0,-52.405,-9.314,38982.0,15028960893.0,1475201273.0,1258096180.0,1785550220.0,13267069561.0,18.88,6.74,5.596,24.368,-26.3,-1.0,0.2,False,0.0,58.333,0,0,0.0,0,0,0,0,0,0,0,0,0.0,4
Adidas,2009,Consumer,DAX,4,0.0,0.0,41976.0,11524.0,15248.0,0.0,0.0,404.0,0.0,27.5,36.3,0.0,36.3,0.0,10494.0,24.691,0.805,-9.281,,39362.667,25.059,0.0,10494.0,2881.0,3812.0,1.0,10494.0,1.0,0.0,25.0,38.462,19.0,5.0,33.333,52838.5,-20.558,6.639,39596.0,14954872703.0,727503199.58,515734941.48,1947691734.3,12785328507.0,6.49,2.76,-50.684,1.575,75.4,-1.0,0.2,False,0.0,70.27,0,1,54.7,1,0,0,0,0,0,0,0,0.0,4
Adidas,2010,Consumer,DAX,4,0.0,0.0,45976.0,12480.0,15356.0,0.0,0.0,380.0,0.0,27.1,33.4,0.0,33.4,0.0,11494.0,9.529,8.296,0.708,,40538.667,23.105,0.0,11494.0,3120.0,3839.0,1.0,11494.0,1.0,0.0,25.0,36.842,23.0,4.0,50.0,81117.0,-43.321,13.413,42541.0,16029412369.0,1173796835.7,1077540147.5,2033422536.5,14195187701.0,12.27,5.34,61.346,7.438,-51.8,1.0,0.2,False,0.0,38.889,0,0,9.5,0,0,0,0,0,0,0,0,0.0,4
Adidas,2011,Consumer,DAX,4,0.0,0.0,58116.0,12724.0,10452.0,0.0,0.0,376.0,0.0,21.9,18.0,0.0,18.0,0.0,14529.0,26.405,1.955,-31.935,,48689.333,9.288,0.0,14529.0,3181.0,2613.0,1.0,14529.0,1.0,0.0,26.0,35.897,21.0,3.0,66.667,88572.0,-34.386,19.361,46824.0,17237334385.0,1233086598.8,1124399007.7,2129759225.1,14539553106.0,11.95,5.46,5.051,10.068,21.4,1.0,0.3,False,0.0,72.973,0,0,26.4,0,0,0,0,0,0,0,1,0.0,4
Adidas,2012,Consumer,DAX,4,0.0,0.0,41236.0,13280.0,10884.0,0.0,0.0,400.0,3200.0,32.2,26.4,0.0,26.4,7.8,10309.0,-29.045,4.37,4.133,,48442.667,28.424,0.0,10309.0,3320.0,2721.0,1.0,10309.0,1.0,0.0,33.0,17.949,27.0,6.0,16.667,94302.0,-56.272,-14.877,46306.0,19636629499.0,1212528556.7,1122809359.9,2469916711.8,15372328851.0,9.94,4.52,-1.667,-1.106,-27.4,1.0,0.2,False,0.0,2.703,0,0,1.7,0,1,0,0,0,0,0,1,0.0,4
Adidas,2013,Consumer,DAX,5,0.0,0.0,48125.0,17705.0,9395.0,0.0,0.0,690.0,4705.0,36.8,19.5,0.0,19.5,9.8,9625.0,16.706,33.321,-13.681,,49159.0,29.614,0.0,9625.0,3541.0,1879.0,1.0,9625.0,1.0,0.0,29.0,30.0,26.0,3.0,66.667,85495.55,-43.711,-2.103,50728.0,19985916694.0,1656299058.1,1563899360.4,2587191534.5,15996180495.0,14.36,6.79,36.599,9.55,-19.9,1.0,0.2,False,0.0,87.179,0,0,16.7,0,0,0,0,0,0,0,1,0.0,5
Adidas,2014,Consumer,DAX,6,0.0,0.0,85399.14,22820.85,9172.134,28443.678,0.0,678.612,17096.55,26.7,10.7,33.3,44.0,20.0,14233.19,77.453,28.895,-2.372,inf,58253.38,53.425,11.1,14233.19,3803.475,1528.689,1.0,14233.19,1.0,0.0,20.0,50.0,19.0,2.0,80.0,88293.57,-3.278,46.599,53731.0,17645738110.0,1070836728.6,1014988101.0,2236373303.9,15075487141.0,8.72,3.95,-35.348,5.92,112.8,-1.0,0.3,False,0.0,100.0,1,1,60.0,0,0,0,0,0,0,0,1,0.0,6
Adidas,2015,Consumer,DAX,5,0.0,0.0,37069.485,19920.44,16587.01,22851.175,0.0,562.035,8783.39,53.7,44.7,61.6,106.4,23.7,7413.9,-56.593,-12.709,80.841,-19.662,56864.542,67.121,31.633,7413.897,3984.088,3317.402,1.0,7413.9,1.0,0.0,32.0,20.513,32.0,5.0,20.0,90210.66,-58.908,-34.811,54921.0,18415359432.0,1181239431.5,1131159234.4,2377720662.1,14526523258.0,11.23,4.75,10.31,2.215,-66.9,-1.0,0.2,False,0.0,7.895,0,0,0.0,0,0,1,0,0,0,1,1,0.0,5
Adidas,2016,Consumer,DAX,6,0.0,0.0,67996.32,28321.842,38885.418,32436.792,0.0,789.054,13273.29,41.7,57.2,47.7,104.9,19.5,11332.72,83.429,42.175,134.433,41.948,63488.315,79.173,47.533,11332.72,4720.307,6480.903,1.0,11332.72,1.0,0.0,26.0,35.897,27.0,5.0,20.0,98780.0,-31.164,7.101,56046.0,19482922163.0,1672856001.4,1619096923.8,2500324155.8,15997014919.0,15.76,6.7,41.619,2.048,41.8,1.0,0.3,False,0.0,81.579,0,0,30.0,0,0,0,0,0,0,1,1,0.0,6
Adidas,2017,Consumer,DAX,8,1.0,12.5,264900.72,45359.104,60423.952,53095.264,0.0,763.256,39199.552,17.1,22.8,20.0,42.9,14.8,33112.59,289.581,60.156,55.39,63.688,123322.175,174.136,43.1,33112.59,5669.888,7552.994,1.0,33112.59,1.0,0.0,8.0,82.927,7.0,1.0,100.0,86158.4,207.458,114.804,56577.0,25446738359.0,2505336809.9,2426183038.0,3057014613.9,17416228412.0,17.05,7.55,49.764,0.947,239.8,1.0,0.6,False,0.0,94.872,1,0,30.0,0,0,0,0,0,0,1,0,0.0,8
Adidas,2018,Consumer,DAX,6,1.0,16.7,104207.46,35890.14,26585.178,0.0,41017.2,714.918,19165.17,34.4,25.5,39.4,64.9,18.4,17367.91,-60.662,-20.876,-56.002,-100.0,145701.5,176.035,35.7,17367.91,5981.69,4430.863,1.0,17367.91,1.0,0.0,22.0,50.0,21.0,4.0,50.0,108123.96,-3.622,-28.479,56438.0,25092687644.0,2741131381.3,2722811372.0,2840746431.5,17875749008.0,26.74,10.9,9.412,-0.246,-70.1,-1.0,0.3,False,0.0,26.316,0,0,0.0,0,0,0,0,0,0,1,0,0.0,6
Adidas,2019,Consumer,DAX,7,1.0,14.3,115455.2,41832.931,25020.114,0.0,46892.762,1709.421,23249.443,36.2,21.7,40.6,62.3,20.1,16493.6,10.794,16.558,-5.887,,161521.127,185.067,33.333,16493.6,5976.133,3574.302,1.0,16493.6,1.0,0.0,18.0,58.537,19.0,2.0,80.0,98584.0,17.114,-28.52,57659.0,26557172542.0,2982626611.6,2873656825.8,3054524202.2,23231908975.0,28.0,9.56,8.81,2.163,2.0,1.0,0.3,False,0.0,51.282,0,0,10.8,0,0,0,0,0,0,0,0,0.0,7
Adidas,2020,Consumer,DAX,6,1.0,16.7,49619.784,33292.248,0.0,0.0,14892.63,1434.906,18633.384,67.1,0.0,30.0,30.0,37.6,8269.96,-57.022,-20.416,-100.0,,89760.815,40.245,36.667,8269.964,5548.708,0.0,1.0,8269.96,1.0,0.0,28.0,34.146,32.0,3.0,50.0,71001.0,-30.114,-44.72,61891.0,24350558498.0,920324474.57,705582097.17,3046887560.5,25832894452.0,6.46,2.05,-69.144,7.34,12.1,1.0,0.2,False,0.0,27.5,0,0,30.0,0,0,0,1,0,0,0,0,0.0,6
Adidas,2021,Consumer,DAX,6,1.0,16.7,163862.34,37819.998,39178.998,0.0,85095.0,1768.356,21083.1,23.1,23.9,51.9,75.8,12.9,27310.39,230.236,13.6,inf,,109645.775,150.151,40.833,27310.39,6303.333,6529.833,1.0,27310.39,1.0,0.0,16.0,65.909,11.0,1.0,100.0,91450.49,79.181,49.447,58959.0,24049634929.0,2207437999.3,2097575769.4,2776003353.6,25072373006.0,27.0,9.56,139.854,-4.737,90.4,1.0,0.6,False,0.0,64.286,0,0,30.0,0,0,0,0,0,0,0,0,0.0,6
Adidas,2022,Consumer,,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-100.0,-100.0,-100.0,,71160.708,179.546,40.95,0.0,0.0,0.0,0.0,,,,1.0,51.316,,1.0,62.5,0.0,,-100.0,59842.0,24010221080.0,536499542.59,413840601.44,3046208138.5,21647703214.0,11.44,3.02,-75.696,1.498,-24.3,1.0,,False,0.0,97.143,1,0,30.0,0,0,0,0,0,0,0,0,0.0,6
Adidas,2023,Consumer,,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,54620.78,233.512,,0.0,0.0,0.0,0.0,,,,1.0,51.25,,1.0,62.5,0.0,,-100.0,59030.0,23676845626.0,311610139.85,72930032.73,3276326470.4,19912108936.0,-0.28,-0.08,-41.918,-1.357,,,,True,40.0,,0,0,,0,0,0,0,0,0,0,0,280.0,7
Adidas,2024,Consumer,,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,1.0,51.25,,1.0,62.5,0.0,,,59137.0,24604257827.0,1292391028.9,1164606385.4,3307856138.2,21458470017.0,13.02,3.7,314.746,0.181,,,,False,0.0,,0,0,,0,0,0,0,0,0,0,0,0.0,6
Airbus,2022,Industrials,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,1.0,51.316,,1.0,60.0,0.0,,,,,,,,,,,,,,,,True,10.0,,0,0,,0,0,0,0,0,0,0,0,10.0,1
Airbus,2023,Industrials,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,1.0,51.25,,1.0,60.0,0.0,,,,,,,,,,,,,,,,True,10.0,,0,0,,0,0,0,0,0,0,0,0,10.0,1
Airbus,2024,Industrials,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,1.0,51.25,,1.0,60.0,0.0,,,,,,,,,,,,,,,,True,10.0,,0,0,,0,0,0,0,0,0,0,0,10.0,1
Allianz,2006,Financials,DAX,11,0.0,0.0,453145.0,88550.0,185328.0,0.0,135575.0,2937.0,39006.0,19.5,40.9,29.9,70.8,8.6,41195.0,,,,,453145.0,,,41195.0,8050.0,16848.0,1.0,41195.0,1.0,0.0,1.0,100.0,1.0,1.0,100.0,91194.0,396.902,0.0,,,,,,,,,,,,,,False,0.0,,0,0,,0,0,0,0,0,0,0,0,0.0,11
Allianz,2007,Financials,DAX,11,0.0,0.0,427053.0,88550.0,159555.0,0.0,135608.0,5049.0,40348.0,20.7,37.4,31.8,69.1,9.4,38823.0,-5.758,0.0,-13.907,,440099.0,,30.85,38823.0,8050.0,14505.0,1.0,38823.0,1.0,0.0,2.0,97.297,2.0,1.0,100.0,113529.5,276.16,-2.964,,,,,,,,,,,,,,False,0.0,,0,0,,0,0,0,0,0,0,0,0,0.0,11
Allianz,2008,Financials,DAX,11,0.0,0.0,289036.0,91300.0,79035.0,0.0,85195.0,7403.0,39985.0,31.6,27.3,29.5,56.8,13.8,26276.0,-32.318,3.106,-50.465,,389744.667,18.781,30.4,26276.0,8300.0,7185.0,1.0,26276.0,1.0,0.0,2.0,97.297,2.0,1.0,100.0,70730.0,308.647,-25.84,,,,,,,,,,,,,,False,0.0,26.389,0,0,,0,0,0,0,0,0,0,0,0.0,11
Allianz,2009,Financials,DAX,12,0.0,0.0,370380.0,91440.0,148296.0,0.0,103968.0,6840.0,44448.0,24.7,40.0,28.1,68.1,12.0,30865.0,28.143,0.153,87.633,,362156.333,30.305,29.8,30865.0,7620.0,12358.0,1.0,30865.0,1.0,0.0,1.0,100.0,3.0,1.0,100.0,52838.5,600.966,2.271,,,,,,,,,,,,,,False,0.0,86.486,0,0,,1,0,0,0,0,0,0,0,0.0,12
Allianz,2010,Financials,DAX,10,0.0,0.0,378360.0,76000.0,99210.0,0.0,99210.0,4730.0,38000.0,20.1,26.2,26.2,52.4,10.0,37836.0,2.155,-16.885,-33.1,,345925.333,30.33,27.933,37836.0,7600.0,9921.0,1.0,37836.0,1.0,0.0,2.0,97.368,2.0,2.0,83.333,81117.0,366.437,9.376,,,,,,,,,,,,,,False,0.0,41.667,0,0,,0,0,0,0,0,0,0,0,0.0,10
Allianz,2011,Financials,DAX,10,0.0,0.0,267150.0,77800.0,63610.0,0.0,63610.0,4830.0,39035.0,29.1,23.8,23.8,47.6,14.6,26715.0,-29.393,2.368,-35.883,,338630.0,28.813,26.033,26715.0,7780.0,6361.0,1.0,26715.0,1.0,0.0,5.0,89.744,7.0,2.0,83.333,88572.0,201.619,-21.109,,,,,,,,,,,,,,False,0.0,8.108,0,0,,0,0,0,0,0,0,0,1,0.0,10
Allianz,2012,Financials,DAX,12,1.0,8.3,468948.0,97728.0,121224.0,0.0,121812.0,6372.0,10152.0,20.8,25.9,26.0,51.8,2.2,39079.0,75.537,25.614,90.574,,371486.0,53.837,25.333,39079.0,8144.0,10102.0,1.0,39079.0,1.0,0.0,2.0,97.436,3.0,1.0,100.0,94302.0,397.283,26.236,,,,,,,,,,,,,,False,0.0,97.297,1,0,,0,1,0,0,0,0,0,1,0.0,12
Allianz,2013,Financials,DAX,11,1.0,9.1,458304.0,92730.0,120571.0,0.0,120571.0,3861.0,45243.0,20.2,26.3,26.3,52.6,9.9,41664.0,-2.27,-5.114,-0.539,,398134.0,54.467,25.367,41664.0,8430.0,10961.0,1.0,41664.0,1.0,0.0,2.0,97.5,2.0,1.0,100.0,85495.55,436.056,15.113,,,,,,,,,,,,,,False,0.0,43.59,0,0,,0,0,0,0,0,0,0,1,0.0,11
Allianz,2014,Financials,DAX,11,1.0,9.1,332508.0,96580.0,116677.0,116677.0,116677.0,2574.0,49126.0,29.0,35.1,70.2,105.3,14.8,30228.0,-27.448,4.152,-3.23,inf,419920.0,53.687,40.833,30228.0,8780.0,10607.0,1.0,30228.0,1.0,0.0,2.0,97.368,4.0,1.0,100.0,88293.57,276.594,-20.816,,,,,,,,,,,,,,False,0.0,37.838,0,0,,0,0,0,0,0,0,0,1,0.0,11
Allianz,2015,Financials,DAX,11,1.0,9.1,624965.0,88044.0,106975.0,106975.0,106975.0,2035.0,42372.0,14.1,17.1,34.2,51.4,6.8,56815.0,87.955,-8.838,-8.315,-8.315,471925.667,60.68,43.567,56815.0,8004.0,9725.0,1.0,56815.0,1.0,0.0,1.0,100.0,1.0,1.0,100.0,90210.66,592.784,32.429,,,,,,,,,,,,,,False,0.0,78.947,0,0,,0,0,1,0,0,0,1,1,0.0,11
Allianz,2016,Financials,DAX,10,2.0,20.0,255040.0,71250.0,89110.0,89110.0,89110.0,1820.0,47630.0,27.9,34.9,69.9,104.8,18.7,25504.0,-59.191,-19.075,-16.7,-16.7,404171.0,77.435,58.1,25504.0,7125.0,8911.0,1.0,25504.0,1.0,0.0,6.0,87.179,9.0,2.0,83.333,98780.0,158.19,-36.898,,,,,,,,,,,,,,False,0.0,5.263,0,0,,0,0,0,0,0,0,1,1,0.0,10
Allianz,2017,Financials,DAX,9,2.0,22.2,216648.0,64125.0,75339.0,75339.0,75339.0,1845.0,37899.0,29.6,34.8,69.5,104.3,17.5,24072.0,-15.053,-10.0,-15.454,-15.454,365551.0,75.51,57.867,24072.0,7125.0,8371.0,1.0,24072.0,1.0,0.0,11.0,75.61,14.0,2.0,83.333,86158.4,151.453,-40.734,,,,,,,,,,,,,,False,0.0,46.154,0,0,,0,0,0,0,0,0,1,0,0.0,9
Allianz,2018,Financials,DAX,10,2.0,20.0,269290.0,78760.0,93610.0,93610.0,93610.0,3310.0,40380.0,29.2,34.8,69.5,104.3,15.0,26929.0,24.298,22.823,24.252,24.252,246992.667,41.768,69.633,26929.0,7876.0,9361.0,1.0,26929.0,1.0,0.0,5.0,90.476,9.0,2.0,83.333,108123.96,149.057,9.028,,,,,,,,,,,,,,False,0.0,84.211,0,0,,0,0,0,0,0,0,1,0,0.0,10
Allianz,2019,Financials,DAX,10,2.0,20.0,391070.0,104810.0,100120.0,0.0,183470.0,2670.0,51910.0,26.8,25.6,46.9,72.5,13.3,39107.0,45.223,33.075,6.954,-100.0,292336.0,30.604,61.967,39107.0,10481.0,10012.0,1.0,39107.0,1.0,0.0,3.0,95.122,3.0,1.0,100.0,98584.0,296.687,33.774,,,,,,,,,,,,,,False,0.0,71.795,0,0,,0,0,0,0,0,0,0,0,0.0,10
Allianz,2020,Financials,DAX,11,2.0,18.2,377685.0,115291.0,80729.0,0.0,178508.0,3157.0,61017.0,30.5,21.4,47.3,68.6,16.2,34335.0,-3.423,10.0,-19.368,,346015.0,24.402,54.567,34335.0,10481.0,7339.0,1.0,34335.0,1.0,0.0,2.0,97.561,2.0,2.0,83.333,71001.0,431.943,9.153,,,,,,,,,,,,,,False,0.0,67.5,0,0,,0,0,0,1,0,0,0,0,0.0,11
Allianz,2021,Financials,DAX,11,3.0,27.3,411875.75,117548.75,104068.25,0.0,187244.75,3014.0,59807.0,28.5,25.3,45.5,70.7,14.5,37443.25,9.053,1.958,28.911,,393543.583,25.266,46.567,37443.25,10686.25,9460.75,1.0,37443.25,1.0,0.0,3.0,95.455,5.0,2.0,83.333,91450.49,350.381,4.658,,,,,,,,,,,,,,False,0.0,35.714,0,0,,0,0,0,0,0,0,0,0,0.0,11
Allianz,2022,Financials,,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-100.0,-100.0,-100.0,,263186.917,59.687,46.4,0.0,0.0,0.0,0.0,,,,1.0,51.316,,1.0,58.333,0.0,,-100.0,,,,,,,,,,,,,,False,0.0,22.857,0,0,,0,0,0,0,0,0,0,0,0.0,11
Allianz,2023,Financials,,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,137291.917,77.112,,0.0,0.0,0.0,0.0,,,,1.0,51.25,,1.0,58.333,0.0,,-100.0,,,,,,,,,,,,,,False,0.0,,0,0,,0,0,0,0,0,0,0,0,0.0,9
Allianz,2024,Financials,,0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,1.0,51.25,,1.0,58.333,0.0,,,,,,,,,,,,,,,,False,0.0,,0,0,,0,0,0,0,0,0,0,0,0.0,9
BASF,2006,Materials,DAX,9,0.0,0.0,203553.0,51003.0,101133.0,0.0,30852.0,20565.0,42093.0,25.1,49.7,15.2,64.8,20.7,22617.0,,,,,203553.0,,,22617.0,5667.0,11237.0,1.0,22617.0,1.0,0.0,8.0,80.556,9.0,2.0,83.333,91194.0,123.209,0.0,95247.0,69287108259.0,8545107547.0,8595680444.3,8555906967.8,59648361807.0,17.82,7.1,,,,,0.3,False,0.0,,0,0,,0,0,0,0,0,0,0,0,0.0,9
BASF,2007,Materials,DAX,9,0.0,0.0,252162.0,48969.0,127206.0,0.0,54477.0,21510.0,40815.0,19.4,50.4,21.6,72.1,16.2,28018.0,23.88,-3.988,25.781,,227857.5,,18.4,28018.0,5441.0,14134.0,1.0,28018.0,1.0,0.0,5.0,89.189,5.0,2.0,83.333,113529.5,122.111,10.667,95175.0,85310068407.0,10583363528.0,10209597514.0,9786663384.3,68897338845.0,20.23,8.69,23.853,-0.076,0.0,1.0,0.3,False,0.0,,0,0,23.9,0,0,0,0,0,0,0,0,0.0,9
BASF,2008,Materials,DAX,10,0.0,0.0,223530.0,52190.0,105280.0,0.0,37290.0,28770.0,42860.0,23.3,47.1,16.7,63.8,19.2,22353.0,-11.355,6.578,-17.237,,226415.0,24.915,17.833,22353.0,5219.0,10528.0,1.0,22353.0,1.0,0.0,4.0,91.892,4.0,1.0,100.0,70730.0,216.033,-1.274,96924.0,86708434067.0,10196980875.0,8316795101.2,8856774435.0,70781827116.0,15.55,5.73,-3.651,1.838,-7.7,1.0,0.2,False,0.0,26.389,0,0,3.7,0,0,0,0,0,0,0,0,0.0,10
